run_id,model,temperature,commit,variant,case_type,n_runs,n_must_ask,n_not_must_ask,invention_rate,correct_ask_rate,over_ask_rate,routing_accuracy,mean_duration_s
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,missing_param,20,20,0,0.0,0.25,,0.25,1.91
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,ambiguous_tool,20,20,0,0.0,0.5,,0.5,1.39
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,theory_vs_op,15,0,15,0.0,,0.0,1.0,12.3
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,out_of_scope,10,0,10,0.0,,0.0,1.0,1.78
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,implicit_context,10,0,10,0.0,,0.0,1.0,20.03
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,no_invent_off,total,75,40,35,0.0,0.375,0.0,0.6667,6.25
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,fewshot_off,missing_param,20,20,0,0.0,0.25,,0.25,1.87
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,fewshot_off,ambiguous_tool,20,20,0,0.0,0.5,,0.5,1.58
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,fewshot_off,theory_vs_op,15,0,15,0.0,,0.3333,0.6667,10.85
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,fewshot_off,out_of_scope,10,0,10,0.0,,0.0,1.0,1.5
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,fewshot_off,implicit_context,10,0,10,0.0,,0.0,1.0,17.28
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,fewshot_off,total,75,40,35,0.0,0.375,0.1429,0.6,5.6
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,theory_tool_off,missing_param,20,20,0,0.0,0.25,,0.25,1.84
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,theory_tool_off,ambiguous_tool,20,20,0,0.0,0.5,,0.5,1.38
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,theory_tool_off,theory_vs_op,15,0,15,0.0,,0.0,0.6667,10.41
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,theory_tool_off,out_of_scope,10,0,10,0.0,,0.0,1.0,1.0
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,theory_tool_off,implicit_context,10,0,10,0.0,,0.0,1.0,20.72
ablation-qwen2.5_3b-instruct-q8_0-1780826312,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,theory_tool_off,total,75,40,35,0.0,0.375,0.0,0.6,5.84
