run_id,model,temperature,commit,case_id,case_type,repetition,reached_route,invented_params,asked_param,over_asked,correct,tool_call_name,tool_call_args,duration_s,error
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-01,missing_param,1,solicitar_parametros,0,1,0,1,detect_drift,"{""lambd"": 1, ""min_instances"": 50, ""num_bins"": 10}",12.7,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-01,missing_param,2,solicitar_parametros,0,1,0,1,detect_drift,"{""lambd"": 1, ""min_instances"": 5, ""num_bins"": 10}",1.24,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-01,missing_param,3,solicitar_parametros,0,1,0,1,detect_drift,"{""lambd"": 1, ""min_instances"": 5, ""num_bins"": 10}",1.26,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-01,missing_param,4,solicitar_parametros,0,1,0,1,detect_drift,"{""min_instances"": 5, ""num_bins"": 10, ""lambd"": 1}",1.23,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-01,missing_param,5,solicitar_parametros,0,1,0,1,detect_drift,"{""lambd"": 1, ""min_instances"": 5, ""num_bins"": 10}",1.22,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-02,missing_param,1,fin_texto,0,0,0,0,,{},1.77,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-02,missing_param,2,fin_texto,0,0,0,0,,{},1.19,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-02,missing_param,3,fin_texto,0,0,0,0,,{},1.17,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-02,missing_param,4,fin_texto,0,0,0,0,,{},1.24,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-02,missing_param,5,fin_texto,0,0,0,0,,{},1.16,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-03,missing_param,1,fin_texto,0,0,0,0,,{},1.12,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-03,missing_param,2,fin_texto,0,0,0,0,,{},1.26,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-03,missing_param,3,fin_texto,0,0,0,0,,{},1.28,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-03,missing_param,4,fin_texto,0,0,0,0,,{},1.25,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-03,missing_param,5,fin_texto,0,0,0,0,,{},1.22,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-04,missing_param,1,fin_texto,0,0,0,0,,{},3.29,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-04,missing_param,2,fin_texto,0,0,0,0,,{},1.89,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-04,missing_param,3,fin_texto,0,0,0,0,,{},1.92,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-04,missing_param,4,fin_texto,0,0,0,0,,{},1.92,
qwen2.5_3b-instruct-q8_0-1780825721,qwen2.5:3b-instruct-q8_0,0.0,91b7deb,MP-04,missing_param,5,fin_texto,0,0,0,0,,{},1.92,
